year,level,subject,paper,question,text,coleman_liau,flesch_kincaid,gunning_fog,total_tokens,positive_tokens,negative_tokens,neutral_tokens,compound_sentiment_score,intent,intent_certainty,named_entities
1914,Lower Grade,HISTORY,1,1,Place the following events in the century appropriate to each on the accompanying table :— The invention of printing; the capture of Quebec; the Synod of Whitby; the foundation of the New England colonies : the signing of Magna Carta; the Battle of Brunanburh ; the granting of Catholic Emancipation; the outbreak of the Black Death; the mission of Columba to the Piets ; the discovery of the Cape of G ood Hope ; the marriage of Malcolm Canmore with St. Margaret; the execution of Mary Queen of Scots ; the Battle of Killiecrankie ; the treaty between Alfred and the Danes ; the Battle of Waterloo ; the Porteous Riots.,12.51,20.8,24.32,54,2,5,47,-0.2205142857142857,describe,0.4962927401065826,"('the', 'DATE', 1)('century', 'DATE', 1)('Quebec', 'STATE_OR_PROVINCE', 1)('Whitby', 'LOCATION', 1)('New', 'LOCATION', 1)('England', 'COUNTRY', 1)('Magna', 'ORGANIZATION', 1)('Carta', 'ORGANIZATION', 1)('Brunanburh', 'LOCATION', 1)('Catholic', 'RELIGION', 1)('Emancipation', 'MISC', 1)('Columba', 'PERSON', 1)('Cape', 'LOCATION', 1)('Malcolm', 'LOCATION', 1)('Canmore', 'CITY', 1)('St.', 'LOCATION', 1)('Margaret', 'LOCATION', 1)('execution', 'CAUSE_OF_DEATH', 1)('Mary', 'ORGANIZATION', 1)('Queen', 'ORGANIZATION', 1)('of', 'ORGANIZATION', 1)('Scots', 'ORGANIZATION', 1)('Alfred', 'PERSON', 1)('Waterloo', 'CITY', 1)"
1914,Lower Grade,HISTORY,1,2,Explain and distinguish the meaning of the following terms :— Baron and Knight; Protestant and Presbyterian ; Lord Chancellor and Chancellor of the Exchequer.,11.19,14.2,16.07,13,0,0,13,0.0,reason,0.4364750683307647,"('Baron', 'TITLE', 1)('Protestant', 'RELIGION', 1)('Presbyterian', 'RELIGION', 1)('Chancellor', 'TITLE', 2)"
1914,Lower Grade,HISTORY,1,3,Who were the Scots ? By what stages were the boundaries of the Scottish Kingdom extended to the Solway and the Tweed ?,9.42,3.8,8.01,8,0,0,8,0.0,compare,0.950959324836731,"('Scottish', 'NATIONALITY', 1)('Solway', 'PERSON', 1)"
1914,Lower Grade,HISTORY,1,4,"What notable events do you associate with any six of the following places :— Iona, Nectansmere, Kinghorn, Loudon Hill, Worcester, Rullion Green, Darien, Glencoe, Preston, Derby ?",13.72,13.0,13.2,18,0,0,18,0.0,describe,0.3827995955944061,"('six', 'NUMBER', 1)('Iona', 'ORGANIZATION', 1)('Nectansmere', 'LOCATION', 1)('Kinghorn', 'PERSON', 1)('Loudon', 'CITY', 1)('Hill', 'LOCATION', 1)('Worcester', 'CITY', 1)('Rullion Green', 'PERSON', 1)('Darien', 'CITY', 1)('Glencoe', 'CITY', 1)('Preston', 'PERSON', 1)('Derby', 'CITY', 1)"
1914,Lower Grade,HISTORY,1,5,Sketch the course of events which led up to the battle of Halidon Hill.,7.71,2.9,5.6,7,0,1,6,-0.3818,argue,0.5711169242858887,"('Halidon', 'LOCATION', 1)('Hill', 'LOCATION', 1)"
1914,Lower Grade,HISTORY,1,6,"Give a short account of any three of the following :— The Battle of the Standard, the Treaty of Falaise, the Conference at Norham, the Burnt Candlemas, the Treaty of Edinburgh (1560), the Articles of Perth.",10.34,13.4,16.29,18,0,1,17,-0.3818,describe,0.3314773440361023,"('three', 'NUMBER', 1)('Treaty', 'ORGANIZATION', 1)('of', 'ORGANIZATION', 1)('Falaise', 'ORGANIZATION', 1)('Norham', 'LOCATION', 1)('Burnt', 'MISC', 1)('Candlemas', 'MISC', 1)('Edinburgh', 'CITY', 1)('1560', 'DATE', 1)('Perth', 'CITY', 1)"
1914,Lower Grade,HISTORY,1,7,Why is the reign of James I. of Scotland noteworthy in Scottish History ?,10.03,2.3,2.6,6,0,0,6,0.0,explain,0.995202898979187,"('James I.', 'PERSON', 1)('Scotland', 'COUNTRY', 1)('Scottish', 'NATIONALITY', 1)"
1914,Lower Grade,HISTORY,1,8,"When was a Presbyterian Church first established in Scotland, and under what circumstances was it finally restored?",9.12,9.9,13.86,8,1,0,7,0.34,describe,0.6662965416908264,"('Presbyterian', 'RELIGION', 1)('Church', 'RELIGION', 1)('first', 'ORDINAL', 1)('Scotland', 'COUNTRY', 1)"
1914,Lower Grade,HISTORY,1,9,Select any one of the following novels :—The Fair Maid of Perth; The Abbot; The Legend of Montrose; Old Mortality. With what period of Scottish History does it deal? AVhat historical events and historical personages does it mention? Reproduce as well as you can the description given of one of these personages or events.,8.69,7.4,9.1,29,3,0,26,0.3031999999999999,describe,0.8341281414031982,"('one', 'NUMBER', 2)('Maid', 'TITLE', 1)('Perth', 'CITY', 1)('Abbot', 'TITLE', 1)('Montrose', 'CITY', 1)('Scottish', 'NATIONALITY', 1)"
1914,Lower Grade,HISTORY,1,10,"Give some account of any two of the following :— Themistocles, Socrates, Hannibal, Cicero, Con¬ stantine the Great, Hildebrand, Dante, Galileo, Calvin, Gustavus Adolphus, Clive, Garibaldi, Bismarck.",14.04,12.3,15.02,20,1,0,19,0.6249,reason,0.3400906920433044,"('two', 'NUMBER', 1)('Socrates', 'PERSON', 1)('Hannibal', 'PERSON', 1)('Cicero', 'PERSON', 1)('Hildebrand', 'PERSON', 1)('Dante', 'PERSON', 1)('Galileo', 'ORGANIZATION', 1)('Calvin', 'PERSON', 1)('Gustavus Adolphus', 'PERSON', 1)('Clive', 'PERSON', 1)('Garibaldi', 'PERSON', 1)('Bismarck', 'PERSON', 1)"
1914,Lower Grade,HISTORY,1,11,Explain the allusions in any four of the following passages:—,7.29,7.2,8.0,5,0,0,5,0.0,describe,0.3136837482452392,"('four', 'NUMBER', 1)"
1914,Lower Grade,HISTORY,1,12,"For what reasons, and with what justice has Alfred of AYessex been called “ the Great ” ?",9.64,4.4,6.0,6,2,0,4,0.5758,compare,0.4079799950122833,"('Alfred', 'PERSON', 1)"
1914,Lower Grade,HISTORY,1,13,Why did England go to war with France in the reign of Edward III. ?,9.97,2.9,5.6,7,0,1,6,-0.5994,explain,0.9869278073310852,"('England', 'COUNTRY', 1)('war', 'CAUSE_OF_DEATH', 1)('France', 'COUNTRY', 1)('Edward III', 'PERSON', 1)"
1914,Lower Grade,HISTORY,1,14,Why is Cardinal Wolsey so prominent a figure in the history of England?,9.14,7.2,11.35,6,1,0,5,0.3182,explain,0.9954113364219666,"('Cardinal', 'TITLE', 1)('Wolsey', 'PERSON', 1)('England', 'COUNTRY', 1)"
1914,Lower Grade,HISTORY,1,15,"AVken, why, and with what effect did Scotland take part in the English Civil War of Charles I.’s reign ?",10.4,6.0,7.6,10,0,1,9,-0.5994,explain,0.8670119047164917,"('Scotland', 'COUNTRY', 1)('English', 'NATIONALITY', 1)('War', 'CAUSE_OF_DEATH', 1)('Charles I.', 'PERSON', 1)"
1914,Lower Grade,HISTORY,1,16,"Describe briefly the circumstances under which Britain gained Gibraltar, Bengal, Quebec, the Cape of Good Hope.",11.34,7.2,8.9,11,3,0,8,0.4208666666666666,argue,0.4587752521038055,"('Britain', 'COUNTRY', 1)('Gibraltar', 'NATIONALITY', 1)('Bengal', 'LOCATION', 1)('Quebec', 'STATE_OR_PROVINCE', 1)('Cape', 'LOCATION', 1)"
1914,Lower Grade,HISTORY,1,17,"What do you associate with the following names:— Adam Smith, James AYatt, Josiah Avedgwood, George Stephenson, Rowland Hill, Richard Cobden ?",14.89,12.3,14.0,15,0,0,15,0.0,discuss,0.728035032749176,"('Adam Smith', 'PERSON', 1)('James AYatt', 'PERSON', 1)('Josiah Avedgwood', 'PERSON', 1)('George Stephenson', 'PERSON', 1)('Rowland Hill', 'PERSON', 1)('Richard Cobden', 'PERSON', 1)"
