year,level,subject,paper,question,text,coleman_liau,flesch_kincaid,gunning_fog,total_tokens,positive_tokens,negative_tokens,neutral_tokens,compound_sentiment_score,intent,intent_certainty,named_entities
1909,Lower Grade,HISTORY,1,1,"Name the century in which each of the following events happened, and add a brief note on any three of them, connecting each with the general history of its century or with some important series of events in that century:—Battle of Carham; the Reformation by Parliament of the Scottish Church ; the Darien Scheme; the Porteous Riots ; the defeat of the Armada; the Persecution of the Covenanters; Declaration of Independence; Repeal of the Corn Laws; Death of Joan of Arc; the Eranco-Prussian War.",12.52,34.1,36.7,40,1,4,35,-0.40254,discuss,0.7444724440574646,Carham {1} the Scottish Church {1} Armada {1} the Persecution of the Covenanters {1}
1909,Lower Grade,HISTORY,1,2,What different peoples occupied Scotland between the coming of Columba and the death of Alexander III. ? Indicate some of the events by which they were welded into the nation which resisted Edward.,10.35,8.4,10.15,15,0,1,14,-0.5994,compare,0.543156623840332,Scotland {1} Alexander III. {1} Edward {1}
1909,Lower Grade,HISTORY,1,3,"Tell the story of the struggle for Scottish Independence from the death of Alexander III. to the Treaty of Northampton, and name some of poems in which the achievements of the heroes have been celebrated.",9.47,6.6,10.43,15,2,2,11,0.052924999999999986,argue,0.4073852300643921,Alexander III. {1} Treaty {1} Northampton {1}
1909,Lower Grade,HISTORY,1,4,"What do you know of any one of the following events in Scottish History :— the policy and death of James I.; the conflict between the House of Stewart and the House of Douglas in the reign of James II. ; the circumstances that led to, and the incidents of, the battle of Elodden.",8.14,5.3,8.46,22,0,3,19,-0.4331333333333333,describe,0.8054141402244568,James I. {1} House {1} Stewart {1} the House of Douglas {1} James II {1} Elodden {1}
1909,Lower Grade,HISTORY,1,5,Trace the events which led to the conversion of Scotland to Protestantism and show how they were affected by the relations of Scotland to England and to Prance.,9.54,11.8,15.49,12,0,1,11,-0.1531,argue,0.4699668884277344,Scotland {2} England {1}
1909,Lower Grade,HISTORY,1,6,"Describe the character and career of two of the following:— Mary of Guise, John Knox, ",10.7,6.8,8.67,9,0,0,9,0.0,reason,0.6036603450775146,John Knox {1}
1909,Lower Grade,HISTORY,1,6t,"he Regent Morton, James VI., the Marquis of Montrose, Prince Charles Edward.",8.17,3.3,2.4,9,0,0,9,0.0,describe,0.9247113466262817,John Knox {1}
1909,Lower Grade,HISTORY,1,7,What do you know of the origin of the English Parliament and its power under the Plantagenets and under the Tudors ?,7.69,10.3,12.21,7,0,0,7,0.0,describe,0.7773325443267822,the English Parliament {1}
1909,Lower Grade,HISTORY,1,8,What was the origin of the Hundred Tears’ War ? Sketch its course; name some of the principal battles ; and show how it affected Scotland and the English Parliament.,8.84,5.2,8.46,14,0,3,11,-0.37810000000000005,argue,0.38324427604675293,the Hundred Tears’ War {1} Scotland {1} the English Parliament {1}
1909,Lower Grade,HISTORY,1,9,"Describe the character of Henry VIII., and show how the Reformation in England differed from the Reformation in Scotland.",9.93,7.0,8.01,10,0,0,10,0.0,reason,0.9208188056945801,England {1} Reformation {1} Scotland {1}
1909,Lower Grade,HISTORY,1,10,"State what you know of one of the following events, and of its importance for English ",6.4,6.0,8.9,7,1,0,6,0.3612,describe,0.951334536075592,
1909,Lower Grade,HISTORY,1,10a,"nd it may be Scottish) History :— the Conquest of Wales, the Colonisation of America, the Hampton Court Conference, the Solemn League and Covenant, the Seven Tears’ War, the Revolt of the American Colonies.",11.96,15.0,16.84,20,0,2,18,-0.33830000000000005,describe,0.7327411770820618,
1909,Lower Grade,HISTORY,1,11,"Describe the character and career of two of the following:— William the Conqueror, Cardinal Wolsey,  Oliver Cromwell, the Duke of Marlborough, the elder Pitt, Nelson, Sir Robert Peel.",12.36,14.2,18.34,19,0,0,19,0.0,reason,0.7054360508918762,Cardinal Wolsey {1} Oliver Cromwell {1} the Duke of Marlborough {1} Pitt {1} Nelson {1} Robert Peel {1}
1909,Lower Grade,HISTORY,1,12,"Charles V. of Spain, contemporary of Henry VIII. of England, is generally spoken of as “ The Emperor.” What was he Emperor of and where did this title come from?",9.56,3.5,8.02,13,0,0,13,0.0,describe,0.43901902437210083,Charles V. of {1} Spain {1} Henry VIII {1} England {1}
1909,Lower Grade,HISTORY,1,13,What do you know of the discovery and settling of America?,7.05,5.2,8.04,4,0,0,4,0.0,describe,0.6789383292198181,America {1}
1909,Lower Grade,HISTORY,1,14,What were the Crusades ? What part in them was taken by Scottish or English Kings P Did they have any effect on our life and customs ?,7.93,3.6,5.2,10,0,0,10,0.0,compare,0.9441245794296265,
1909,Lower Grade,HISTORY,1,15,"Who were two of the following, and what importance have they for Scottish, English, or British History:—King Haco; Gregory the Great; Joan of Arc; Martin Luther; John Calvin; Philip IV. of Spain; Christopher Columbus; William the Silent; the Duke of Guise; Frederick the Great; Napoleon Buonaxiarte ; Prince Bismarck ; Abraham Lincoln?",12.77,13.0,16.4,33,3,0,30,0.537,describe,0.832216739654541,Haco {1} Joan {1} Martin Luther {1} John Calvin {1} Philip IV {1} Spain {1} Christopher Columbus {1} William the Silent {1} Frederick the Great {1} Napoleon Buonaxiarte {1} Prince Bismarck {1} Abraham Lincoln {1}
1909,Lower Grade,HISTORY,1,16,"What are “the Great Powers of Europe”? Give a very brief account of the history of any one of them since 1850, with special reference to its present relations with Britain.",8.48,5.8,8.78,15,2,0,13,0.5134,discuss,0.5409201979637146,Britain {1}
